Ref,event,url,text,type,filetype,src,created,files
120,GW200129_065458,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200129_065458/v1,GWTC link,open-data,,,,
121,GW200129_065458,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
122,GW200129_065458,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:04.000,
123,GW200129_065458,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.713,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
124,GW200129_065458,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.714,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
125,GW200129_065458,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.718,"['gal_8192', 'eq_8192', 'eq_4096']"
126,GW200128_022011,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200128_022011/v1,JSON file,json-url,,,,
127,GW200128_022011,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200128_022011/v1,GWTC link,open-data,,,,
128,GW200128_022011,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
129,GW200128_022011,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:54:02.000,
130,GW200128_022011,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.728,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
131,GW200128_022011,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.728,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
132,GW200128_022011,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.732,"['gal_8192', 'eq_8192', 'eq_4096']"
133,GW200115_042309,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200115_042309/v2,JSON file,json-url,,,,
134,GW200115_042309,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200115_042309/v2,GWTC link,open-data,,,,
135,GW200115_042309,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
136,GW200115_042309,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:53:59.000,
137,GW200115_042309,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.743,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
138,GW200115_042309,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.743,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
139,GW200115_042309,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.748,"['gal_8192', 'eq_8192', 'eq_4096']"
140,GW200112_155838,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200112_155838/v1,JSON file,json-url,,,,
141,GW200112_155838,https://gwosc.org/eventapi/html/GWTC-3-confident/GW200112_155838/v1,GWTC link,open-data,,,,
142,GW200112_155838,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
143,GW200112_155838,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:53:45.000,
144,GW200112_155838,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.759,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
145,GW200112_155838,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.760,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
146,GW200112_155838,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.763,"['gal_8192', 'eq_8192', 'eq_4096']"
147,GW191230_180458,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191230_180458/v1,JSON file,json-url,,,,
148,GW191230_180458,https://gwosc.org/eventapi/html/GWTC-3-confident/GW191230_180458/v1,GWTC link,open-data,,,,
149,GW191230_180458,https://zenodo.org/api/records/8177023/files/IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_cosmo.h5/content,Data file,data-file,h5,zenodo,,
150,GW191230_180458,https://zenodo.org/record/8177023/files/IGWN-GWTC3p0-v2-PESkyLocalizations.tar.gz,Sky Map,skymap-fits,tar,,2023-07-31T13:53:35.000,
151,GW191230_180458,%BASEURL%,Skymaps,skymaps-plot,,,2026-05-31T10:20:18.775,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
152,GW191230_180458,%BASEURL%,Skymaps,skymaps-thumb,,,2026-05-31T10:20:18.775,"['moll', 'moll_pretty', 'moll_pretty_black', 'cartzoom', 'cartzoom_pretty', 'cart', 'moll_rot', 'cart_rot']"
153,GW191230_180458,%BASEURL%,Skymaps (plain),skymaps-plain,,,2026-05-31T10:20:18.780,"['gal_8192', 'eq_8192', 'eq_4096']"
