Ref,citation,created,event,text,type,url
566,,2019-09-21T20:26:56.359,S190910h,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_cart.png
567,,2019-09-21T20:26:56.363,S190910h,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_cart.thumb.png
568,,2019-09-21T20:27:04.599,S190910h,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_moll_rot.png
569,,2019-09-21T20:27:04.600,S190910h,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_moll_rot.thumb.png
570,,2019-09-21T20:27:10.596,S190910h,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_cart_rot.png
571,,2019-09-21T20:27:10.596,S190910h,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910h_cart_rot.thumb.png
572,,2019-09-21T20:27:24.958,S190910h,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190910h_8192.png
573,,2019-09-21T20:45:29.579,S190910h,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190910h-tiles
574,,,S190910h,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190910h/
575,,,S190910d,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190910d/
576,,,S190910d,Sky Map,skymap-fits,https://gracedb.ligo.org/api/superevents/S190910d/files/LALInference.fits.gz
577,,2019-09-21T20:26:00.806,S190910d,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_moll.png
578,,2019-09-21T20:26:00.807,S190910d,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_moll.thumb.png
579,,2019-09-21T20:26:05.061,S190910d,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_cartzoom.png
580,,2019-09-21T20:26:05.061,S190910d,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_cartzoom.thumb.png
581,,2019-09-21T20:26:10.348,S190910d,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_cart.png
582,,2019-09-21T20:26:10.348,S190910d,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_cart.thumb.png
583,,2019-09-21T20:26:16.380,S190910d,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_moll_rot.png
