Ref,event,url,text,type,filetype,created,offset,tmerge,files,src,file,url-loc
30,GW151226,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/fits/GW151226_skymap.fits.gz,Sky Map (local mirror),skymap-fits-local,,,,,,,,
31,GW151226,https://gwosc.org/eventapi/json/GWTC-1-confident/GW151226/v2,JSON file,json-url,,,,,,,,
32,GW151226,https://ligo.gravity.cf.ac.uk/chris.north/gwcat-data/data/gravoscope/GW151226-tiles,Gravoscope tileset,gravoscope-tiles,,2023-05-20T09:14:29.455,,,,,,
33,GW170104,https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170104/v2,JSON file,json-url,,,,,,,,
34,GW170104,https://gwosc.org/eventapi/html/GWTC-1-confident/GW170104/v2,GWTC link,open-data,,,,,,,,
35,GW170104,https://dcc.ligo.org/public/0157/P1800370/005/GW170104_GWTC-1.hdf5,Data file,data-file,h5,,,,,,,
36,GW170104,https://dcc.ligo.org/public/0157/P1800381/007/GW170104_skymap.fits.gz,Final Skymap,skymap-fits,,,,,,,,
37,GW170104,https://data.cardiffgravity.org/gwcat-data/data/waveforms/waveform_GW170104_compress.txt,Simulated waveform (compressed),waveform-compressed,,2021-11-18T00:11:38.803,-0.46202,0.0,,,,
38,GW170104,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/png/,Skymaps,skymaps-plot,,2023-06-04T11:38:39.859,,,"{'moll': {'file': 'GW170104_moll.png', 'text': 'Skymap (Mollweide fullsky)'}, 'moll_pretty': {'file': 'GW170104_moll_pretty.png', 'text': 'Skymap (Mollweide fullsky, pretty)'}, 'moll_pretty_black': {'file': 'GW170104_moll_pretty_black.png', 'text': 'Skymap (Mollweide fullsky, pretty black)'}, 'cartzoom': {'file': 'GW170104_cartzoom.png', 'text': 'Skymap (Cartesian zoomed)'}, 'cartzoom_pretty': {'file': 'GW170104_cartzoom_pretty.png', 'text': 'Skymap (Cartesian zoomed, pretty)'}, 'cart': {'file': 'GW170104_cart.png', 'text': 'Skymap (Cartesian fullsky)'}, 'moll_rot': {'file': 'GW170104_moll_rot.png', 'text': 'Skymap (Mollweide fullsky, rotated)'}, 'cart_rot': {'file': 'GW170104_cart_rot.png', 'text': 'Skymap (Cartesian fullsky, rotated)'}}",,,
39,GW170104,https://ligo.gravity.cf.ac.uk/~chris.north/gwcat-data/data/gravoscope/,Skymaps (plain),skymaps-plain,,2023-06-04T11:38:39.861,,,"{'gal_8192': {'text': 'Skymap (no annotations)', 'file': 'GW170104_8192.png'}, 'eq_8192': {'text': 'Skymap (Equatorial, no annotations)', 'file': 'GW170104_8192_eq.png'}, 'eq_4096': {'text': 'Skymap 4096px (Equatorial, no annotations)', 'file': 'GW170104_4096_eq.png'}}",,,
